Prix,old_price,Type,pays,region,Title,Rating,voyageurs,rooms,bed,bathroom,period_start,period_end
977 € ,1 395 €,appartement,Belgique,Maaseik,Studio Lennox entièrement meublé,"5,0 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
698 € ,1 550 €,chambre d'hôtes,Belgique,La Hulpe,Chambre dans un cadre de verdure,"5,0 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain privée,31/07/2024,31/08/2024
701 € ,1 130 €,hébergement,Belgique,Liège,Saint Léonard Champêtre,"4,73 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
977 € ,2 790 €,maison d'hôtes,Belgique,Gand,"Box in a Box (Cube) - un cadeau rural, ouvrez-le !","4,50 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 502 € ,2 945 €,appartement en résidence,Belgique,Anvers,Appartement magnifiquement fini et entièrement équipé,"4,86 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
781 € ,1 302 €,Chambre,Belgique,Seraing,Studio indépendant avec jardin,"4,79 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 1 an,31/07/2024,31/08/2024
1 215 € ,1 519 €,appartement,Belgique,Asse,Appartement d'une chambre dans une ferme rénovée,"4,71 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 085 € ,2 170 €,appartement,Belgique,Marche-en-Famenne,Entre Marche et Rochefort,"4,68 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 100 € ,1 467 €,appartement,Belgique,Incourt,Duplex villageois,"4,80 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 274 € ,1 795 €,appartement,Belgique,Braives,Cocooning au moulin de Velupont,"4,94 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 150 € ,1 438 €,appartement,Belgique,Wavre,"studio lumineux , au calme et dans la verdure","4,88 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
846 € ,1 209 €,appartement,Belgique,Mons,Studio au cœur de Mons,"4,86 ·",3 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 10 ans,31/07/2024,31/08/2024
856 € ,1 556 €,appartement,Belgique,Aiseau-Presles,Studio - indépendant,"4,73 ·",3 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
907 € ,1 395 €,suite,Belgique,Liège,"1 étage Appartement 40 m2 . bus 48 , 1, 4 ,25 ,","4,59 ·",2 voyageurs, · 2 chambres, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 325 € ,2 945 €,appartement en résidence,Belgique,Etterbeek,"Bel appartement à Etterbeek, élégant et confortable","5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 056 € ,2 112 €,appartement,Belgique,Jurbise,Un studio tout confort au calme,"4,93 ·",4 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
815 € ,905 €,Chambre,Belgique,Liège,Studio des Hauteurs,"5,0 ·",1 lit simple, · Salle de bain privée attenante,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
815 € ,905 €,Chambre,Belgique,Liège,Studio des Hauteurs,"5,0 ·",1 lit simple, · Salle de bain privée attenante,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
1 387 € ,2 201 €,appartement,Belgique,Berlaar,Bel appartement dans le quartier de Lier,"5,0 ·",3 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 347 € ,3 367 €,appartement,Belgique,Anvers,Studio dans le centre historique,"4,62 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 1 an,31/07/2024,31/08/2024
1 295 € ,1 850 €,appartement,Belgique,Anvers,Appartement branché au cœur d'Anvers,"4,66 ·",3 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 364 € ,1 705 €,cottage,Belgique,Asse,Chalet confortable dans une ferme rénovée.,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 3 ans,31/07/2024,31/08/2024
1 135 € ,1 830 €,loft,Belgique,Louvain,Studio indépendant calme à Centrel Leuven,"4,80 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 364 € ,2 480 €,appartement en résidence,Belgique,Oud-Heverlee,"Appartement confortable entre Louvain, forêt et Dijle","4,83 ·",2 voyageurs, · 1 chambre, · 1 salle de bain et 1 toilette,Superhôte,31/07/2024,31/08/2024
818 € ,1 023 €,Chambre,Belgique,Anvers,Chambre spacieuse à côté de la gare centrale d'Anvers,"4,77 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 242 € ,2 070 €,appartement,Belgique,Liège,Appartement 2P aux portes de Liège + parking,"4,88 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 519 € ,2 170 €,appartement,Belgique,Woluwe-Saint-Lambert,Cosy studio,"5,0 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
907 € ,1 295 €,appartement,Belgique,Anvers,Superbe studio dans la zone verte d'Anvers,"4,30 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 2 ans,31/07/2024,31/08/2024
1 228 € ,1 364 €,appartement en résidence,Belgique,Liège,Bel appartement lumineux,"4,80 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 411 € ,2 015 €,appartement,Belgique,Sint-Jans-Molenbeek,Agréable appartement avec balcon et jardin,"4,52 ·",3 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
825 € ,1 178 €,appartement,Belgique,Liège,Studio de charme très bien situé,"4,50 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 121 € ,1 246 €,appartement en résidence,Belgique,Merchtem,Cosi dak appartement,"4,54 ·",3 voyageurs, · Studio, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 569 € ,1 910 €,appartement,Belgique,Merelbeke,Petit appartement confortable,"4,91 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
868 € ,2 480 €,loft,Belgique,Durbuy,Le chant de l'eau : Aisne,"4,24 ·",2 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
977 € ,1 396 €,appartement,Belgique,Liège,Charmant petit appartement idéalement situé,"4,73 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
987 € ,1 795 €,appartement,Belgique,Namur,Loft rénové 1 à 2 personnes.,"4,23 ·",2 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 438 € ,1 917 €,appartement,Belgique,Etterbeek,Appartement de charme de style des années 40,"4,67 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 310 € ,2 015 €,appartement,Belgique,Schoten,"Studio lumineux et élégant à Anvers, Schoten","4,77 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 415 € ,1 880 €,appartement,Belgique,Schaerbeek,The Cherry - Appart. proche de l'UE et du Centre.,"4,44 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
977 € ,1 302 €,appartement,Belgique,La Louvière,Le Laetare🎭,"4,55 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 240 € ,2 480 €,appartement,Belgique,Anvers,"Number22Antwerp, Relax&trendy flat","4,43 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 11 ans,31/07/2024,31/08/2024
1 023 € ,1 461 €,appartement en résidence,Belgique,Boussu,(110-4) Studio deux personnes,"4,76 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 308 € ,1 869 €,suite,Belgique,Seneffe,Ravissante suite avec entrée privative et terrasse,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
988 € ,1 829 €,Chambre,Belgique,Sint-Agatha-Berchem,chambre et salle de bain privées (étage complet),"4,92 ·",1 lit double, · Salle de bain privée attenante,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
863 € ,1 488 €,Chambre,Belgique,Louvain,Chambre spacieuse dans une maison de charme,"4,96 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 9 ans,31/07/2024,31/08/2024
1 502 € ,2 945 €,appartement,Belgique,Anvers,Appartement Rénové,"4,94 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 014 € ,1 448 €,appartement,Belgique,Boussu,(110-2) studio deux personnes,"4,60 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 495 € ,2 990 €,appartement,Belgique,Ixelles,"Beau Studio Cosy avec Cour - Ixelles, Flagey","4,93 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 6 ans,31/07/2024,31/08/2024
781 € ,1 085 €,Chambre,Belgique,Jemeppe-sur-Sambre,Chambre Cocoon dans 1 cadre ressourçant et joyeux.,"4,94 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 3 ans,31/07/2024,31/08/2024
2 356 € ,2 945 €,appartement,Belgique,Jette,Bel appartement Bruxelles terrasse vue sur Atomium,"5,0 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 818 € ,2 139 €,appartement,Belgique,Gand,Appartement confortable en plein centre ville,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
773 € ,1 431 €,Chambre,Belgique,Liège,Chambre lumineuse dans appart partagé et central,"5,0 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 7 ans,31/07/2024,31/08/2024
1 645 € ,3 575 €,appartement,Belgique,Kraainem,Cozy 1 bedroom appartement near facilities,"4,92 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 202 € ,1 849 €,Chambre,Belgique,Gand,"Chambre à Nice appt 15min à pied du centre, vélos gratuits","4,79 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 10 ans,31/07/2024,31/08/2024
643 € ,714 €,Chambre,Belgique,Charleroi,Greenroom,"4,90 ·",3 chambres, · 3 lits, · Salle de bain partagée,Superhôte,31/07/2024,31/08/2024
1 116 € ,1 488 €,appartement,Belgique,La Louvière,La Louvière - Studio 1 personne ou 1 couple.,"4,90 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 986 € ,2 759 €,appartement,Belgique,Anvers,Magnifique appartement ensoleillé au centre d'Anvers,"4,89 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 375 € ,2 697 €,appartement,Belgique,Incourt,Magnifique Studio full équipé,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 621 € ,1 907 €,appartement,Belgique,Anvers,Studio de luxe avec une expérience vivante,"4,82 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 621 € ,1 907 €,appartement,Belgique,Anvers,Studio de luxe avec une expérience vivante,"4,82 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 559 € ,3 465 €,hébergement,Belgique,Hooglede,Maison spacieuse centrale,"4,82 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
904 € ,1 506 €,Chambre,Belgique,Boussu,Agréable studio entièrement neuf. 2,"4,79 ·",1 chambre, · Salle de bain privée,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
699 € ,1 069 €,hébergement,Belgique,Comines-Warneton,Maison à Warneton 20 km de Lille,"5,0 ·",6 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 083 € ,3 255 €,hébergement,Belgique,Faimes,IDILIK*Maison de vacance à la ferme,"5,0 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
807 € ,1 613 €,appartement,Belgique,Vaux-sur-Sûre,Au sapin vert,"4,79 ·",2 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 438 € ,2 481 €,appartement en résidence,Belgique,Nivelles,Appartement du centenaire,"4,94 ·",2 voyageurs, · 1 chambre, · 1 salle de bain et 1 toilette,Superhôte,31/07/2024,31/08/2024
896 € ,2 635 €,Chambre,Belgique,Tervuren,Torii - Chambre 02,"5,0 ·",1 chambre, · Salle de bain partagée,Superhôte, · 6 mois d'expérience en tant qu'hôte,31/07/2024,31/08/2024
1 445 € ,1 700 €,résidence de tourisme,Belgique,Rixensart,Studio avec chambre séparée,"4,73 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 2 ans,31/07/2024,31/08/2024
1 167 € ,1 795 €,maison de ville,Belgique,Waremme,Maison chaleureuse et cosy courts/longs séjours,"4,80 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 235 € ,2 205 €,appartement,Belgique,Anvers,Studio haut de gamme situé au centre,"4,60 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 643 € ,5 182 €,villa,Belgique,Olne,"Grey House, une maison de vacances atypique!","4,92 ·",6 voyageurs, · 2 chambres, · 4 lits, · 2 salles de bain,31/07/2024,31/08/2024
1 390 € ,2 139 €,maison d'hôtes,Belgique,Bruxelles,Studio comfortable avec place de parking et spa,"4,94 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 279 € ,1 705 €,maison d'hôtes,Belgique,Lasne,Lasne Appartement Cocooning 50M2 pour 1 personne,"4,82 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 325 € ,3 875 €,maison d'hôtes,Belgique,Wanze,"Le Pouce roux, calme et confort à la campagne.","4,87 ·",6 voyageurs, · 3 chambres, · 4 lits, · 2 salles de bain,31/07/2024,31/08/2024
2 172 € ,3 103 €,appartement,Belgique,Anvers,Penthouse panoramique ensoleillé 2 Terrasse + Parking gratuit,"4,59 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
621 € ,1 241 €,chambre d'hôtes,Belgique,Rixensart,Chambre privée - Genval,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain partagée,Hôte depuis 8 ans,31/07/2024,31/08/2024
1 961 € ,3 565 €,appartement,Belgique,Louvain,appartement Leuven,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
915 € ,1 829 €,loft,Belgique,Theux,Studio dans les ardennes,"4,86 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 323 € ,3 416 €,appartement,Belgique,Watermael-Boitsfort,Appartement lumineux avec jardin,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 147 € ,2 294 €,appartement,Belgique,Liège,Liège'Studio 50M² avec terrasse,"4,88 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
670 € ,1 116 €,Chambre,Belgique,Saint-Ghislain,Chambre du cinéphile,"4,83 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 3 ans,31/07/2024,31/08/2024
1 008 € ,2 015 €,appartement,Belgique,Aywaille,Escale 1 - Studio (1-2 personnes),"4,87 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
961 € ,1 550 €,Chambre,Belgique,Soumagne,La chambre de Sitelle,"4,92 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 6 ans,31/07/2024,31/08/2024
977 € ,1 396 €,appartement,Belgique,Mons,Studio cosy idéalement situé,"4,44 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
961 € ,1 550 €,Chambre,Belgique,Soumagne,La chambre de Sitelle,"4,92 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 6 ans,31/07/2024,31/08/2024
921 € ,1 023 €,Chambre,Belgique,Anvers,Grande chambre meublée près de la gare d'Anvers,"4,78 ·",1 lit queen size, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 317 € ,2 026 €,appartement,Belgique,Chaumont-Gistoux,"Lumineux studio au calme, proche de LLN et Wavre","4,91 ·",2 voyageurs, · Studio, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 302 € ,1 860 €,hébergement,Belgique,Lasne,Petite maison indépendante dans notre jardin,"4,86 ·",3 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
868 € ,1 240 €,appartement,Belgique,Courcelles,studio Brussels South Charleroi Airport,"4,80 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 344 € ,5 580 €,hébergement,Belgique,Gand,Attic 126 Loft de luxe pour 2 personnes,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,10 mois d'expérience en tant qu'hôte,31/07/2024,31/08/2024
2 240 € ,2 635 €,appartement,Belgique,Schaerbeek,Appartement récemment rénové avec terrasse.,"4,98 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 614 € ,2 604 €,appartement,Belgique,Profondeville,Appartement lumineux 60 m²,"4,97 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
694 € ,992 €,Chambre,Belgique,Tienen,Stage gilet Tiense/chambre étudiante.,"4,67 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 9 ans,31/07/2024,31/08/2024
1 922 € ,2 746 €,suite,Belgique,Celles,Marie Bonheur,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
944 € ,1 259 €,Chambre,Belgique,Zottegem,Chambre privée confortable dans les Ardennes flamandes,"4,87 ·",1 chambre, · Salle de bain partagée,Superhôte, · Hôte depuis 2 ans,31/07/2024,31/08/2024
1 953 € ,2 790 €,suite,Belgique,Tervuren,La colline,"4,97 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 953 € ,2 790 €,suite,Belgique,Tervuren,La colline,"4,97 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 304 € ,1 976 €,appartement,Belgique,Liège,Le jardin de l'Université,"4,58 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 191 € ,2 126 €,appartement,Belgique,Anvers,"Nouveau studio, centre d'Anvers, très bon emplacement","4,57 ·",2 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 302 € ,1 736 €,maison d'hôtes,Belgique,Mol,'t klein huysje,"4,80 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 1 an,31/07/2024,31/08/2024
1 343 € ,2 066 €,appartement,Belgique,Mons,Appartement de 1 chambre dans le centre,"4,88 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 841 € ,3 410 €,hébergement,Belgique,Érezée,Plus belle la vue,"4,93 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 194 € ,1 705 €,appartement,Belgique,Mons,Joli studio sur la Grand-Place,"4,77 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 898 € ,2 711 €,maison de ville,Belgique,Mechelen,Charmante maison d'hôtes près de Mechelen,"4,85 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
812 € ,1 804 €,Yourte,Belgique,Zwalm,Joert dans un verger de pommiers,"4,82 ·",2 voyageurs, · 1 chambre, · 1 lit, · Demi-salle de bain,31/07/2024,31/08/2024
938 € ,1 705 €,Chambre,Belgique,Genk,"Tout le mien, au pied des tours de la mine","4,89 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 860 € ,2 415 €,appartement,Belgique,Etterbeek,Lumineux appartement avec Terrasse - Quartier EU,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 814 € ,2 015 €,loft,Belgique,Gand,Loft,"4,64 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 220 € ,1 355 €,Chambre,Belgique,Geraardsbergen,"Studio/Chambre ""Al de Pirre"" avec salle de bain.","4,85 ·",2 lits simples, · Salle de bain privée attenante,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 984 € ,2 480 €,Logement entier,Belgique,Westerlo,Chalet avec 4 chambres et grande terrasse.,"4,91 ·",6 voyageurs, · 4 chambres, · 6 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 618 € ,2 697 €,appartement,Belgique,Auderghem,Apt avec jardin à 2 pas du métro,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 592 € ,2 449 €,appartement,Belgique,Saint-Ghislain,Duplex • 20 min Pairi Daiza • Cosy • Centre ville,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 302 € ,3 720 €,Bateau,Belgique,Gand,Séjour côté eau dans une cabane art déco,"4,64 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
973 € ,1 431 €,Chambre,Belgique,Fléron,Chambre privée dans une maison agréable et calme,"4,82 ·",1 lit double, · Salle de bain privée attenante,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
1 535 € ,2 325 €,appartement,Belgique,Elsene,Bel appartement à Ixelles,"4,79 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 730 € ,3 146 €,appartement en résidence,Belgique,Anvers,"Studio lumineux, cosy et charmant","4,87 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
744 € ,1 240 €,Chambre,Belgique,Sambreville,Chambre de la vallée. (Aéroport Charleroi),"4,69 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 661 € ,3 390 €,appartement,Belgique,Anvers,Appartement lumineux dans le quartier branché d'Anvers,"4,58 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 005 € ,1 387 €,appartement,Belgique,Saint-Gilles,"Studio tout compris neuf, bien situé à St-Gilles","4,67 ·",1 voyageur, · Studio, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 065 € ,1 937 €,maison d'hôtes,Belgique,Sprimont,Le four à pain,"4,88 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
880 € ,1 600 €,appartement,Belgique,Durbuy,"Le Ludenne, Logement LUdique en ArdENNE","4,55 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 295 € ,1 992 €,maison de ville,Belgique,Wavre,Flat cosy dans le centre de Wavre,"4,74 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
716 € ,1 023 €,Chambre,Belgique,Rosières,"Magnifique vue, parking privé.","4,79 ·",1 lit queen size, · Salle de bain partagée,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
992 € ,1 984 €,appartement,Belgique,Liège,Chambre cosy avec baignoire comme au château,"4,72 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
4 030 € ,6 200 €,appartement en résidence,Belgique,Auderghem,Luxueux et Confortable Penthouse face aux Châteaux,"4,97 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 299 € ,1 999 €,appartement en résidence,Belgique,Wavre,Flat lumineux et chaleureux centre de Wavre,"4,76 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 039 € ,2 077 €,Chambre,Belgique,Louvain,"VITALE, chambre indépendante, à proximité de la mairie","4,84 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 7 ans,31/07/2024,31/08/2024
1 135 € ,1 891 €,Chambre,Belgique,Saint-Gilles,Chambre privé dans le quartier prisé de bruxelles,"4,91 ·",1 chambre, · Salle de bain privée attenante,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 395 € ,2 325 €,hébergement,Belgique,Herve,En toute simplicité au coeur du pays de Herve,"4,95 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 431 € ,3 985 €,appartement en résidence,Belgique,Anvers,Appartement luxueux et confortable en plein centre-ville,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 209 € ,2 015 €,appartement,Belgique,Roosdaal,Petit appartement rénové (indépendant) dans ma maison,"4,83 ·",2 voyageurs, · Studio, · 1 salle de bain,Hôte depuis 5 ans,31/07/2024,31/08/2024
1 411 € ,2 170 €,appartement,Belgique,Ixelles,Studio confortable près du centre et de l'ULB,"4,80 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
638 € ,1 275 €,Chambre,Belgique,Gembloux,Gembloux: Chambre à proximité de la gare,"4,86 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
2 108 € ,2 480 €,appartement,Belgique,Uccle,Appartement lumineux et cosy de Brugmann,"4,91 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 3 ans,31/07/2024,31/08/2024
883 € ,1 209 €,Chambre,Belgique,Zottegem,Chambre privée conviviale,"4,92 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 2 ans,31/07/2024,31/08/2024
1 845 € ,2 635 €,hébergement,Belgique,Momignies,Maison,"4,91 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
